Province,Latitude,Longitude
Hà Nội,21.0285,105.8542
Hồ Chí Minh,10.8231,106.6297
Hải Phòng,20.8449,106.6881
Đà Nẵng,16.0544,108.2022
Cần Thơ,10.0371,105.7882
An Giang,10.5216,105.1259
Bà Rịa - Vũng Tàu,10.5417,107.1605
Bạc Liêu,9.2941,105.7244
Bắc Giang,21.2731,106.1946
Bắc Kạn,22.1470,105.8326
Bắc Ninh,21.1861,106.0763
Bến Tre,10.2435,106.3756
Bình Dương,11.1608,106.6521
Bình Định,13.9113,108.9744
Bình Phước,11.7226,106.8451
Bình Thuận,11.0854,108.1578
Cà Mau,9.1769,105.1524
Cao Bằng,22.6663,106.2573
Đắk Lắk,12.7100,108.2378
Đắk Nông,12.1856,107.6447
Điện Biên,21.4429,103.0204
Đồng Nai,10.9574,106.8427
Đồng Tháp,10.4571,105.6375
Gia Lai,13.9080,108.1360
Hà Giang,22.8233,104.9836
Hà Nam,20.5453,105.9189
Hà Tĩnh,18.3370,105.9060
Hải Dương,20.9405,106.3330
Hậu Giang,9.7842,105.4704
Hòa Bình,20.7397,105.3218
Hưng Yên,20.6464,106.0511
Khánh Hòa,12.2451,109.1943
Kiên Giang,9.9706,105.1018
Kon Tum,14.3497,108.0003
Lai Châu,22.3842,103.4682
Lâm Đồng,11.5714,108.2431
Lạng Sơn,21.8531,106.7623
Lào Cai,22.4856,103.9707
Long An,10.5332,106.4137
Nam Định,20.4235,106.1684
Nghệ An,19.0305,105.2974
Ninh Bình,20.2520,105.9750
Ninh Thuận,11.6665,108.8776
Phú Thọ,21.3235,105.2155
Phú Yên,13.0882,109.3042
Quảng Bình,17.4735,106.5961
Quảng Nam,15.5663,108.1172
Quảng Ngãi,15.1205,108.7915
Quảng Ninh,21.0069,107.2913
Quảng Trị,16.7388,107.1030
Sóc Trăng,9.5990,105.9722
Sơn La,21.3283,103.9216
Tây Ninh,11.3120,106.1035
Thái Bình,20.4463,106.3364
Thái Nguyên,21.5939,105.8442
Thanh Hóa,19.8067,105.7766
Thừa Thiên Huế,16.4673,107.5905
Tiền Giang,10.4354,106.2735
Trà Vinh,9.9324,106.3421
Tuyên Quang,21.8152,105.2163
Vĩnh Long,10.2536,105.9723
Vĩnh Phúc,21.3089,105.6046
Yên Bái,21.7229,104.9113